NSimbolos	MaxPos	encoded	decoded	==?
3	24	100111010000110	1011210012	True
ERRO	3	25	1001110100001101	[['10112100120', '10011101000011000'], ['10112100121', '1001110100001101'], ['10112100122', '10011101000011010'], ['101121001110', '10011101000011100'], ['101121001111', '1001110100001111'], ['101121001112', '10011101000011110'], ['101122011110', '10011101000111100'], ['101122011111', '1001110100011111'], ['101122011112', '10011101000111110'], ['1011210111110', '10011101001111100'], ['1011210111111', '1001110100111111'], ['1011210111112', '10011101001111110'], ['1011221111110', '10011101011111100'], ['1011221111111', '1001110101111111'], ['1011221111112', '10011101011111110'], ['10112111111110', '10011101111111100'], ['10112111111111', '1001110111111111'], ['10112111111112', '10011101111111110'], ['101111111111110', '10011111111111100'], ['101111111111111', '1001111111111111'], ['101111111111112', '10011111111111110'], ['211111111111110', '10111111111111100'], ['211111111111111', '1011111111111111'], ['211111111111112', '10111111111111110'], ['1111111111111110', '11111111111111100'], ['1111111111111111', '1111111111111111'], ['1111111111111112', '11111111111111110']]
3	27	100111010000110110	101121001212	True
3	30	10011101000011011010	1011210012122	True
ERRO	3	31	100111010000110110101	[['10112100121220', '1001110100001101101000'], ['10112100121221', '100111010000110110101'], ['10112100121222', '1001110100001101101010'], ['101121001212110', '1001110100001101101100'], ['101121001212111', '100111010000110110111'], ['101121001212112', '1001110100001101101110'], ['1011210012111110', '1001110100001101111100'], ['1011210012111111', '100111010000110111111'], ['1011210012111112', '1001110100001101111110'], ['10112100111111110', '1001110100001111111100'], ['10112100111111111', '100111010000111111111'], ['10112100111111112', '1001110100001111111110'], ['10112201111111110', '1001110100011111111100'], ['10112201111111111', '100111010001111111111'], ['10112201111111112', '1001110100011111111110'], ['101121011111111110', '1001110100111111111100'], ['101121011111111111', '100111010011111111111'], ['101121011111111112', '1001110100111111111110'], ['101122111111111110', '1001110101111111111100'], ['101122111111111111', '100111010111111111111'], ['101122111111111112', '1001110101111111111110'], ['1011211111111111110', '1001110111111111111100'], ['1011211111111111111', '100111011111111111111'], ['1011211111111111112', '1001110111111111111110'], ['10111111111111111110', '1001111111111111111100'], ['10111111111111111111', '100111111111111111111'], ['10111111111111111112', '1001111111111111111110'], ['21111111111111111110', '1011111111111111111100'], ['21111111111111111111', '101111111111111111111'], ['21111111111111111112', '1011111111111111111110'], ['111111111111111111110', '1111111111111111111100'], ['111111111111111111111', '111111111111111111111'], ['111111111111111111112', '1111111111111111111110']]
3	33	10011101000011011010110	101121001212212	True
ERRO	3	34	100111010000110110101101	[['1011210012122120', '1001110100001101101011000'], ['1011210012122121', '100111010000110110101101'], ['1011210012122122', '1001110100001101101011010'], ['10112100121221110', '1001110100001101101011100'], ['10112100121221111', '100111010000110110101111'], ['10112100121221112', '1001110100001101101011110'], ['101121001212111110', '1001110100001101101111100'], ['101121001212111111', '100111010000110110111111'], ['101121001212111112', '1001110100001101101111110'], ['1011210012111111110', '1001110100001101111111100'], ['1011210012111111111', '100111010000110111111111'], ['1011210012111111112', '1001110100001101111111110'], ['10112100111111111110', '1001110100001111111111100'], ['10112100111111111111', '100111010000111111111111'], ['10112100111111111112', '1001110100001111111111110'], ['10112201111111111110', '1001110100011111111111100'], ['10112201111111111111', '100111010001111111111111'], ['10112201111111111112', '1001110100011111111111110'], ['101121011111111111110', '1001110100111111111111100'], ['101121011111111111111', '100111010011111111111111'], ['101121011111111111112', '1001110100111111111111110'], ['101122111111111111110', '1001110101111111111111100'], ['101122111111111111111', '100111010111111111111111'], ['101122111111111111112', '1001110101111111111111110'], ['1011211111111111111110', '1001110111111111111111100'], ['1011211111111111111111', '100111011111111111111111'], ['1011211111111111111112', '1001110111111111111111110'], ['10111111111111111111110', '1001111111111111111111100'], ['10111111111111111111111', '100111111111111111111111'], ['10111111111111111111112', '1001111111111111111111110'], ['21111111111111111111110', '1011111111111111111111100'], ['21111111111111111111111', '101111111111111111111111'], ['21111111111111111111112', '1011111111111111111111110'], ['111111111111111111111110', '1111111111111111111111100'], ['111111111111111111111111', '111111111111111111111111'], ['111111111111111111111112', '1111111111111111111111110']]
3	37	10011101000011011010110100	10112100121221210	True
3	42	1001110100001101101011010010	101121001212212102	True
ERRO	3	43	10011101000011011010110100101	[['1011210012122121020', '100111010000110110101101001000'], ['1011210012122121021', '10011101000011011010110100101'], ['1011210012122121022', '100111010000110110101101001010'], ['10112100121221210110', '100111010000110110101101001100'], ['10112100121221210111', '10011101000011011010110100111'], ['10112100121221210112', '100111010000110110101101001110'], ['10112100121221221110', '100111010000110110101101011100'], ['10112100121221221111', '10011101000011011010110101111'], ['10112100121221221112', '100111010000110110101101011110'], ['101121001212212111110', '100111010000110110101101111100'], ['101121001212212111111', '10011101000011011010110111111'], ['101121001212212111112', '100111010000110110101101111110'], ['1011210012122111111110', '100111010000110110101111111100'], ['1011210012122111111111', '10011101000011011010111111111'], ['1011210012122111111112', '100111010000110110101111111110'], ['10112100121211111111110', '100111010000110110111111111100'], ['10112100121211111111111', '10011101000011011011111111111'], ['10112100121211111111112', '100111010000110110111111111110'], ['101121001211111111111110', '100111010000110111111111111100'], ['101121001211111111111111', '10011101000011011111111111111'], ['101121001211111111111112', '100111010000110111111111111110'], ['1011210011111111111111110', '100111010000111111111111111100'], ['1011210011111111111111111', '10011101000011111111111111111'], ['1011210011111111111111112', '100111010000111111111111111110'], ['1011220111111111111111110', '100111010001111111111111111100'], ['1011220111111111111111111', '10011101000111111111111111111'], ['1011220111111111111111112', '100111010001111111111111111110'], ['10112101111111111111111110', '100111010011111111111111111100'], ['10112101111111111111111111', '10011101001111111111111111111'], ['10112101111111111111111112', '100111010011111111111111111110'], ['10112211111111111111111110', '100111010111111111111111111100'], ['10112211111111111111111111', '10011101011111111111111111111'], ['10112211111111111111111112', '100111010111111111111111111110'], ['101121111111111111111111110', '100111011111111111111111111100'], ['101121111111111111111111111', '10011101111111111111111111111'], ['101121111111111111111111112', '100111011111111111111111111110'], ['1011111111111111111111111110', '100111111111111111111111111100'], ['1011111111111111111111111111', '10011111111111111111111111111'], ['1011111111111111111111111112', '100111111111111111111111111110'], ['2111111111111111111111111110', '101111111111111111111111111100'], ['2111111111111111111111111111', '10111111111111111111111111111'], ['2111111111111111111111111112', '101111111111111111111111111110'], ['11111111111111111111111111110', '111111111111111111111111111100'], ['11111111111111111111111111111', '11111111111111111111111111111'], ['11111111111111111111111111112', '111111111111111111111111111110']]
3	46	1001110100001101101011010010100	10112100121221210210	True
